ชื่อคนหาโจทย์,โจทย์,สมการคณิตศาสตร์,คำตอบที่ถูกต้อง,คำตอบของ ChatGPT,เนื้อหา,chatGPTตอบถูกต้อง,โจทย์ภาษาอังกฤษ ChatGPT,คำตอบของโจทย์ภาษาอังกฤษ,chatGPTตอบโจทย์ภาษาอังกฤษถูกต้อง
ตะวัน,"มีน้ำผึ้งอยู่ 65,976 มิลลิกรัม ให้เต่าทองกินไป 3,560
มิลลิกรัม ยังเหลือน้ำผึ้งกี่มิลลิกรัม ","65,976 - 3,560 = 62,416","62,416 มิลลิกรัม","62,416 มิลลิกรัม",ชั่งตวง,yes,"There is honey weighing 65,976 milligrams, and the golden turtle consumed 3,560 milligrams. How much honey is left?","62,416 milligrams",yes
ตะวัน,"มีน้ำผึ้งอยู่ 65,976 มิลลิกรัม และมีน้ำหวาน 89,680 มิลลิกรัม
อยากทราบว่าน้ำผึ้งและน้ำหวานหนักต่างกันเท่าไร","89,680 - 65,976 = 23,704"," 23,704 มิลลิกรัม"," 23,704 มิลลิกรัม",ชั่งตวง,yes,"There is honey weighing 65,976 milligrams, and there is nectar weighing 89,680 milligrams. I would like to know the weight difference between the honey and the nectar.","23,704 milligrams",yes
ตะวัน,"เต่าทองบินกลับรังเป็นระยะทาง 3,560 เมตร ถ้าหากผึ้งน้อยบินมา
หาเต่าทองโดยบินอ้อมไป 790 เมตร ผึ้งน้อยบินมาหาเต่าทองเป็นระยะทาง
เท่าไร","3,560 + 790 = 4,350","4,350 เมตร","4,350 เมตร",ระยะทาง,yes,"The golden turtle flies back to its nest for a distance of 3,560 meters. If a little bee flies to find the golden turtle and then flies back for a distance of 790 meters, what is the total distance the little bee flies?","4,350 meters.",yes
ตะวัน,"วันแรกพ่อค้าขี่ลาเพื่อไปซื้อเกลือ 9,465 กิโลกรัม วันที่สองซื้อน้อย
กว่าวันแรกอยู่ 1,395 กิโลกรัม วันที่สองพ่อค้าซื้อเกลือมาเท่าไร
","9,465 - 1,395 = 8,070","8,070 กิโลกรัม","8,070 กิโลกรัม",เงินตรา,yes,"On the first day, the merchant rode the cart to buy salt weighing 9,465 kilograms. On the second day, he bought less salt than the first day, by 1,395 kilograms. How much salt did the merchant buy on the second day?","8,070 kilograms",yes
ตะวัน,"กบถูกนกกระสาจิกกินไป 23,439 ตัว ยังเหลือกบอยู่อีก 12,500 ตัว
เดิมมีกบอยู่ในบึงจำนวนกี่ตัว
","23,439 + 12,500 = 35,939","35,939 ตัว","35,939 ตัว",จำนวน,yes,"A total of 23,439 frogs were eaten by herons, and there are still 12,500 frogs remaining. How many frogs were originally in the pond?","35,939 frogs",yes
ตะวัน,"ชายชราเดินทางไปซื้อลาเป็นระยะทาง 6,700 เมตร และเดินทางไป
หาเพื่อนอีก 5,345 เมตร ชายชราเดินทางทั้งหมดกี่เมตร","6,700 + 5,345 = 12,045","12,045 เมตร","12,045 เมตร",ระยะทาง,yes,"The elderly man traveled a distance of 6,700 meters to buy lottery tickets and traveled another 5,345 meters to meet a friend. How many meters did the elderly man travel in total?","12,045 meters.",yes
ตะวัน,"วิชัยขายรถจักรยานยนต์ราคาคันละ 65,000 บาท
ขายได้5 คัน วิชัยได้เงินทั้งหมดเท่าไร","65,000 x 5 = 325,000","325,000 บาท","325,000 บาท",เงินตรา,yes,"Wichai sells motorcycles priced at 65,000 baht each. He sold 5 motorcycles. How much money did Wichai receive in total?","325,000 baht.",yes
นันทนัช,"พ่อค้าขายรองเท้าผ้าใบได้เงิน 183,975 บาท ขายรองเท้านักเรียน ได้เงิน 227,823 พ่อค้าขายรองเท้าทั้งสองชนิดได้เงินกี่บาท","183,975 + 227,823 = 411,798 ","411,798 บาท","411,798 บาท",เงินตรา,yes,"The merchant made 183,975 baht selling casual shoes and 227,823 baht selling school shoes. How much money did the merchant make from selling both types of shoes?","411,798 baht.",yes
นันทนัช,"ปีนี้กรมป่าไม้แจกพันธุ์ไม้ให้หมู่บ้านตะวัน 389,200 ต้น และแจกให้หมู่บ้านชลธาร 624,900 ต้น ปีนี้กรมป่าไม้แจกพันธุ์ไม้กี่ต้น","389,200 + 624,900 = 1,014,100","1,014,100 ต้น","1,014,100 ต้น",จำนวน,yes,"
This year, the Department of Forestry distributed 389,200 tree saplings to the Tawan village and 624,900 tree saplings to the Chonthan village. How many tree saplings did the Department of Forestry distribute in total this year?","1,014,100 tree saplings.",yes
นันทนัช,"โรงงานแห่งหนึ่งจ่ายค่าไฟฟ้า 452,200 บาท จ่ายค่าน้ำประปา 180,372 บาท โรงงานแห่งนี้จ่ายค่าไฟฟ้ามากกว่าค่าน้ำกี่บาท","452,000 - 180,372 = 271,828","271,828 บาท","271,828 บาท",เงินตรา,yes,"One factory pays 452,200 baht for electricity and 180,372 baht for water. How much more does the factory pay for electricity compared to water?","271,828 baht.",yes
นันทนัช,"ปี พ.ศ.2560 มีนักท่องเที่ยวเข้ามาที่ภูทับเบิกเป็นประชากรชายจำนวน 1,540,000 คน ซึ่งมากกว่าประชากรหญิงจำนวน 820,000 คน นักท่องเที่ยวที่เข้ามาเที่ยวที่ภูทับเบิกเป็นประชากรหญิงทั้งหมดกี่คน","1,540,000 - 820,000 = 720,000","720,000 คน","720,000 คน",จำนวน,yes,"In the year 2560 BE, there were 1,540,000 male tourists visiting Phu Thap Boek, which was more than the number of female tourists, which was 820,000. How many female tourists visited Phu Thap Boek in total?","720,000 female tourists.",yes
นันทนัช,สบู่เหลว 2 ขวด บรรจุในขวดที่มีรูปร่างแตกต่างกัน สบู่เหลวในขวดใบแรกมีปริมาตร 0.75 ลิตร สบู่เหลวในขวดอีกอีกใบหนึ่งมีปริมาตร 0.5 ลิตร สบู่เหลวทั้งสองขวดมีปริมาตรรวมกันกี่ลิตร ,0.75 + 0.5 = 1.25 ลิตร,1.25 ลิตร,1.25 ลิตร,ทศนิยม,yes,"There are two bottles of liquid soap, each contained in bottles with different shapes. The first bottle of liquid soap has a volume of 0.75 liters, while the second bottle has a volume of 0.5 liters. What is the total volume of liquid soap in both bottles?",1.25 liters.,yes
นันทนัช,ถนนสายหนึ่ง วันแรกเทคอนกรีตได้ 42.55 กิโลเมตร วันที่สองเทคอนกรีตได้มากกว่าวันแรก 10.12 กิโลเมตร วันที่สองเทคอนกรีตได้กี่กิโลเมตร,42.55 + 10.12 = 52.67 กิโลกรัม,52.67 กิโลกรัม,52.67 กิโลเมตร,ระยะทาง,yes,"On the first day, one road received 42.55 kilometers of concrete. On the second day, it received an additional 10.12 kilometers more than the first day. How many kilometers of concrete did it receive on the second day?",52.67 kilometers.,yes
นันทนัช,"รถบรรทุกคันหนึ่ง บรรทุกข้าวโพด 3,176.25 กิโลกรัม บรรทุกมันสำปะหลัง หนัก 2,687.5 กิโลกรัม บรรทุกฟักทอง 2,733.75 รถบรรทุกคันนี้บรรทุกของหนักทั้งหมดกี่กิโลกรัม","3,176.25 + 2,687.5 + 2,733.75 = 8,597.5 ","8,597.5 กิโลกรัม","8,597.5 กิโลกรัม",ชั่งตวง,yes,"One truck carries 3,176.25 kilograms of corn, 2,687.5 kilograms of potatoes, and 2,733.75 kilograms of pumpkins. How much does the total load weigh in kilograms for this truck?","2,733.75 kilograms.",yes
นันทนัช,พี่ซ้อมฟุตบอลวันแรกใช้เวลา 2 ชั่วโมง 15 นาที วันที่ 2 ใช้เวลา 145 นาที พี่ใช้เวลาซ้อมฟุตบอลวันใดนานกว่ากัน,60+60+15 = 135 < 145 ,วันที่สอง,วันแรก,เวลา,no,"On the first day, it took my sibling 2 hours and 15 minutes to practice football. On the second day, it took them 145 minutes. Which day did my sibling spend more time practicing football?",second day because 145 minutes (on the second day) > 135 minutes (on the first day).,yes
นันทนัช,พ่อใช้เวลาซ่อมแซมบ้าน 23 วัน ลุงใช้เวลาซ่อมแซมบ้าน 2 สัปดาห์ 5 วัน ใครใช้เวลาซ่อมแซมบ้านน้อยกว่ากัน,23 < 7+7+5=19,ลุง,ลุง,เวลา,yes,"Father took 23 days to repair the house, while Uncle took 2 weeks and 5 days. Who took less time to repair the house?",Uncle took less time to repair the house because 19 days (for Uncle) < 23 days (for Father).,yes
นันทนัช,ชาลีทำงานในช่วงเวลาปิดภาคเรียนเป็นเวลา 2 เดือน 5 วัน ถ้าชาลีทำงานแล้ว 1 เดือน 10 วัน ชาลีต้องทำงานในช่วงปิดภาคเรียนอีกกี่วัน,"30+30+5 = 65 (1)
30+10 = 40 (2)
(2)-(1); 65-40=25 #
",25 วัน,25 วัน,เวลา,yes,"Chali worked during the school break for a total of 2 months and 5 days. If Chali has already worked for 1 month and 10 days, how many more days does Chali need to work during the school break?",25 days.,yes
ฐิตาพร,"ปีที่แล้วมีกบอยู่ในบึง 32,650 ตัว ปีนี้มีกบเพิ่มขึ้นอีก 10,348 ตัว
รวมมีกบทั้งหมดจำนวนกี่ตัว",32650+10348,"42,998 ตัว","43,998 ตัว",จำนวน,no,"Last year, there were 32,650 frogs in the pond. This year, there was an additional increase of 10,348 frogs. In total, how many frogs are there now?","43,998 frogs.",no
ฐิตาพร,สุดใจมีแก้วน้ำ 624 ใบ จัดใส่ถาดเท่า ๆ กัน ถาดละ 24 ใบ ต้องใช้ถาดกี่ใบ,624/24,26 ใบ,26 ใบ,การแบ่งของ,yes,"There are 624 water glasses. They are to be arranged in trays, with each tray holding 24 glasses. How many trays are needed?",26 trays.,yes
ฐิตาพร,"ริบบิ้นยาว 4,500 เซนติเมตร ตัดเส้นละเท่า ๆ กัน นำไปผูกกล่องของขวัญ 36 กล่อง แต่ละกล่องใช้ริบบิ้นยาวกี่เซนติเมตร",4500/36,125 เซนติเมตร,125 เซนติเมตร,การแบ่งของ,yes,"The ribbon is 4,500 centimeters long and is cut into equal lengths to be used for tying gift boxes. There are 36 gift boxes. How long is each ribbon used for each box?",125 centimeters.,yes
ฐิตาพร,แม่ให้เงินโต้ง ธนบัตร 20 บาท 5 ใบ 100 บาท 2 ใบ 500 บาท 2 ใบ โต้งมีเงินเท่าไร,(20*5)+(100*2)+(500*2),"1,300 บาท","1,300 บาท",เงินตรา,yes,"Mother gave me money. 20 baht banknotes, 5 pieces. 100 baht banknotes, 2 pieces. 500 baht banknotes, 2 pieces. How much money did she give me?",1300 baht.,yes
ฐิตาพร,มีน้ำมันอยู่ 207 ลิตร แบ่งใส่รถยนต์คันละ 23 ลิตร แบ่งใส่รถยนต์ได้กี่คัน,207/23,9 คัน,9 คัน,การแบ่งของ,yes,"There are 207 liters of oil available, and it can be divided into each car with 23 liters. How many cars can be filled with the oil?",9 cars.,yes
ฐิตาพร,"วันแรกชาวไร่ปลูกอ้อย 5,324 ต้น วันที่สองปลูกได้มากกว่าวันแรก 1,589 ต้น วันที่สองปลูกอ้อยได้กี่ต้น",5324+1589,"6,913 ต้น","6,913 ต้น",จำนวน,yes,"On the first day, the farmers planted 5,324 sugarcane plants. On the second day, they planted 1,589 more plants than the first day. How many plants were planted on the second day in total?","6,913 plants.",yes
ฐิตาพร,คุณพ่ออ่านหนังสือวันละ 18 หน้า ในเวลา 1 สัปดาห์ คุณพ่ออ่านหนังสือได้ทั้งหมดกี่หน้า,18*7,126 หน้า,126 หน้า,จำนวน,yes,"If your father reads 18 pages of a book per day, and he reads for 1 week, you can calculate the total number of pages he reads by multiplying the number of pages read per day by the number of days?",126 pages.,yes
ฐิตาพร,"วิภาวดีทำงานบริษัทได้รับเงินเดือน ๆ ละ 17,800 บาท ในเวลา 1 ปี วิภาวดีได้รับเงินเดือนทั้งหมดกี่บาท",17800*12,"213,600 บาท","213,600 บาท",เงินตรา,yes,"Wipawadee earns a monthly salary of 17,800 baht while working at the company. In one year, how much total salary does Wipawadee receive?","213,600 baht in one year.",yes
ฐิตาพร,เวลา 1 สัปดาห์ พ่อค้าขายนมสดได้วันละ 36 กล่อง ราคากล่องละ 45 บาท พ่อค้าจะได้เงินทั้งหมดเท่าใด,(36*7)*45,"11,340 บาท","11,340 บาท",เงินตรา,yes,"In one week, a shopkeeper sells 36 boxes of fresh milk per day at a price of 45 baht per box. How much money does the shopkeeper make in total?","11,340 baht.",yes
ฐิตาพร,"ตาชัยลงทุนเลี้ยงปลาดุกเป็นเงิน 65,000 บาท ขายไป 5,980 กิโลกรัม ราคากิโลกรัมละ 35 บาท ตาชัยขายปลาดุกได้กำไรกี่บาท",(5980*35)-6500,"144,300 บาท","144,300 บาท",เงินตรา,yes,"Tachai invested 65,000 baht in raising catfish. He sold 5,980 kilograms of catfish at a price of 35 baht per kilogram. How much profit did Tachai make from selling the catfish?","144,300 baht.",yes
พิยดา,กานต์ใช้เวลาออกกำลังกายทุกวัน วันละเท่าๆกัน ใน 1 สัปดาห์เขาใช้เวลาออกกำลังกาย 12 ชั่วโมง 15 นาที กานต์ใช้เวลาออกกำลังกายวันละกี่ชั่วโมง กี่นาที,((12*60)+15)/7,1 ชั่วโมง 45 นาที,วันละ 1 ชั่วโมง 45นาที,เวลา,yes,"Kan spends time exercising every day, the same amount of time each day. In one week, he spends 12 hours and 15 minutes exercising. How many hours and minutes does Kan spend exercising each day?",1 hour and 45 minutes,yes
พิยดา,ณีซ้อมกีฬาวันละ 1 ชั่วโมง 30 นาที ในเวลา  5 วัน ณีใช้เวลาซ้อมกีฬาเท่าใด,(60+30)*5,7 ชั่วโมง 30 นาที,7 ชั่วโมง 30 นาที,เวลา,yes,"Nee practices sports for 1 hour and 30 minutes each day. If she practices for 5 days, how much time does Nee spend practicing sports?",7 hour and 30 minutes,yes
พิยดา,ช่างติดตั้งเครื่องปรับอากาศที่ห้องประชุม จำนวน 6 เครื่อง ใช้เวลา 7 ชั่วโมง 30 นาที ช่างตืดตั้งเครื่องปรับอากาศใช้เวลาโดยเฉลี่ยเครื่องละกี่ชั่วโมง กี่นาที,((7*60)+30)/6,1 ชั่วโมง 15 นาที,เฉลี่ยเครื่องละ 1 ชั่วโมง 15 นาที,เวลา,yes,"The air conditioner installer installed 6 air conditioning units in the meeting room and took 7 hours and 30 minutes. On average, how many hours and minutes did the installer take to install each unit?","The air conditioner installer installed 6 air conditioning units in the meeting room and took 7 hours and 30 minutes. On average, how many hours and minutes did the installer take to install each unit?",yes
พิยดา,จังหวัดหนึ่งมีประชากรชาย 789717 คน มีประชากรหญิงมากกว่าประชากรชาย 10748 คน  จังหวัดนี้มีประชากรหญิงกี่คน,789717+10748,800465,800465 คน,จำนวน,yes,"In this province, there are 789,717 male inhabitants, and there are 10,748 more female inhabitants than male inhabitants. How many female inhabitants are there in this province?",800465 female inhabitants,yes
พิยดา,ปีที่แล้วพ่อมีรายได้ 378000 บาท ปีนี้พ่อมีรายได้น้อยกว่าปีที่แล้ว 37500 บาท ปีนี้พ่อมีรายได้กี่บาท,378000-37500,340500,340500 บาท,เงินตรา,yes,"Last year, my father had an income of 378,000 baht. This year, his income is less than last year by 37,500 baht. How much is his income this year?",340500 Bath,yes
พิยดา,ถ้าที่ดินราคา 1500000 บาท และราคาที่ดินน้อยกว่าค่าก่อสร้างบ้าน 900000 บาท ค่าก่อสร้างบ้านราคาเท่าไหร่,1500000+900000,2400000,2400000 บาท,เงินตรา,no,"If the land is priced at 1,500,000 baht and the land price is less than the cost of building a house, which is 900,000 baht, then the cost of constructing the house can be calculated by subtracting the price of the land from the total cost of house and land.",-600000 Bath,yes
พิยดา,ปีนี้บริษัทส่งออกสินค้าได้ 534000 กล่อง ปีนี้ส่งออกได้มากกว่าปีที่แล้ว 35000 กล่อง ปีที่แล้วบริษัทส่งออกสินค้าได้กี่กล่อง,534000-35000,499000,499000 กล่อง,จำนวน,yes,"This year, the company exported 534,000 boxes, and it exported 35,000 more boxes than last year. How many boxes did the company export last year?",499000 Bath,yes
พิยดา,เดิมจิตรามีเงินอยู่ 21760 บาท วันนี้ขายทุเรียนได้อีก 139 กิโลกรัม ราคากิโลกรัมละ 47 บาท จิตรามีเงินทั้งหมดเท่าไหร่,(21760+(139*47)),28293,28293 บาท,เงินตรา,yes,"Jit has 21,760 baht. Today, she sold another 139 kilograms of durian at a price of 47 baht per kilogram. How much money does Jit have in total now?",28293 Bath,yes
พิยดา,สมพรขายเสื้อ 252 ตัว ราคาตัวละ 125 บาท นำเงินไปฝากธนาคาร 8700 บาท สมพรเหลือเงินไว้ใช้จ่ายเท่าไหร่,(252*125)-8700,22800,22800 บาท,เงินตรา,yes,"Somphorn sold 252 shirts at a price of 125 baht each. He deposited 8,700 baht in the bank. How much money does Somphorn have left for spending?",22800 Bath,yes
พิยดา,พ่อให้เช่าตึก 2 ชั้น เพื่อนการค้าขายและสำนักงาน ชั้น 1 ให้เช่าเดือนละ 25500 บาท ชั้นที่ 2 ให้เช่าเดือนละ 15800 บาท หากพ่อต้องผ่อนค่าเช่าตึกให้ธนาคารเดือนละ 34400 บาท พ่อจะต้องเพิ่มเงิน หรือ มีเงินเหลือเก็บเท่าไหร่ ,(25500+15800)-34400,6900,6900 บาท,เงินตรา,yes,"Father rents out a 2-story building for commercial and office purposes. He rents out the 1st floor for 25,500 baht per month and the 2nd floor for 15,800 baht per month. If Father has to pay the bank 34,400 baht for the building's mortgage each month, how much extra money does he need to add, or how much money does he have left to keep?",6900 Bath,yes
กฤษณพงษ์,เอ๋มีธนบัตรหนึ่งพันบาทยี่สิบใบธนบัตรห้าร้อยบาทสามใบเอ๋มีเงินเท่าใด,1000*20+3*500,21500 บาท,"21,500 บาท",เงินตรา,yes,Ae has twenty one-thousand baht bills and three five hundred baht bills. How much money does Ae have?,"421,500 baht.",no
กฤษณพงษ์,ใบเตยต้องการซื้อไอศกรีมรสช็อกโกแลตและรสวนิลาอย่างละถ้วย แต่ละถ้วยราคา 50 บาท ใบเตยจะต้องใช้เหรียญสิบบาทกี่เหรียญ,(50+50)/10,10 เหรียญ,10 เหรียญ,เงินตรา,yes,Baitoei wants to buy a cup of chocolate and vanilla ice cream. Each cup costs 50 baht. How many ten-baht coins does Baitoei need?,10 coins,yes
กฤษณพงษ์,แดงมีเงิน 12 บาท โดยทั้งหมดนั้นเป็นเหรียญ 25 สตางค์ แดงมีเหรียญทั้งหมดกี่เหรียญ,12/0.25,48 เหรียญ,48 เหรียญ,เงินตรา,yes,"Dang has 12 baht, all of which are 25 satang coins. How many coins does Dang have in total?",48 coins,yes
กฤษณพงษ์,ตี๋ได้นัดพบกับดำโดยตี๋ออกเดินทางเวลา 8.30 น. และมาถึง 45 นาทีหลังจากนั้น ดำมาเร็วกว่าตี๋ 10 นาที ดำมาถึงกี่โมง,(8+(30/60)+(45/60)-(10/60)),9.05 น.,9.05 น. ,เวลา,yes,Tee has a meeting with Dum. Tee leaves at 8.30 a.m. and arrives 45 minutes later. Dum arrived 10 minutes earlier than Tee. What time did Dum arrive?,9.05 a.m.,yes
กฤษณพงษ์,ฟ้าเก็บมะม่วงในสวนได้ 50 กิโลกรัม นำไปขายกิโลกรัมละ 40 บาท ฟ้ามีเงินสะสมก่อนหน้า 5000 บาท ปัจจุบันฟ้ามีเงินเท่าใด,(50*40)+5000,7000 บาท,"7,000 บาท",เงินตรา,yes,Fah can collect 50 kilograms of mangoes in the orchard and sell them for 40 baht per kilogram. Fah has previously accumulated 5000 baht. How much money does Fah have now?,7000 baht,yes
กฤษณพงษ์,เอกมีเงิน 300000 บาทซื้อม่านในราคา 70000 บาท ซื้อพรม ในราคา 40000 บาท เอกเหลือเงินกี่บาท,300000-(70000+40000),190000 บาท,"190,000 บาท",เงินตรา,yes,"Ek has 300,000 baht to buy a curtain for 70,000 baht and buy a rug for 40,000 baht. How many baht does Ek have left?","190,000 baht",yes
กฤษณพงษ์,กิวิ่งเป็นระยะทาง 5.25 กิโลเมตร แบ่งเป็นสามช่วงช่วงละเท่าๆ กันจะได้ระยะทางช่วงละเท่าใด,5.25/3,1.75 กิโลเมตร,≈ 1.75 กิโลเมตร,ทศนิยม,yes,"Ki ran for a distance of 5.25 kilometers, divided into three sections of equal length. How long will each sections be?",1.75 kilometers,yes
กฤษณพงษ์,แก้ว 17 ใบ ในแก้วแต่ละใบสามารถจุน้ำปริมาตร 700 มิลลิลิตร จะสามารถมีน้ำจุรวมทั้งหมดเท่าใด,17*700,11900 มิลลิลิตร,"11,900 มิลลิลิตร",ชั่งตวง,yes,"17 glasses, each glass can hold 700 ml of water, how much water can there be in total?","11,900 ml",yes
กฤษณพงษ์,มีลูกอม 3 ถุง แต่ละถุงบรรจุลูกอมจำนวน 100 เม็ด แบ่งให้เด็ก 50 คนจะได้ลูกอมคนละเท่าใด,3*100/50,6 เม็ด,6 เม็ด,การแบ่งของ,yes,"There are 3 bags of candies, each bag contains 100 candies, how much candy can each get for 50 children?",6 candies ,yes
กฤษณพงษ์,เดือนแรกเก็บเงินได้ 32500.75 บาท เดือนต่อมาเก็บได้ 35675.50 บาท ทั้งสองเดือนเก็บเงินได้กี่บาท,32500.75+35675.50,68176.25 บาท,68176.25 บาท,ระยะทาง,yes,"The first month you can save 32500.75 baht, the next month you can collect 35675.50 baht. How many baht can you save in both months?","68,176.25 baht",no
กานต์,"บ่อเลี้ยงปลาบ่อหนึ่งมีปลาทองอยู่ 10 ตัว มีปลาเงินอยู่ 20 ตัว มีปลาทองแดงอยู่ 30 ตัว อยากทราบว่าในบ่อนี้มีปลากี่ตัว
",10+20+30,60 ตัว,60 ตัว,จำนวน,yes,"In this pond, there are 10 goldfish, 20 silver fish, and 30 red goldfish. How many fish are there in total in this pond?
",60,yes
กานต์,"นักเรียนคนหนึ่งมีขนมปัง 25 ชิ้น และมีกล้วย 10 ผล แต่ถูกลิงขโมยกล้วยไป 10 ผล นักเรียนคนนี้เหลือของทั้งหมดกี่ชิ้น?

",25+10-10,25 ชิ้น,25 ชิ้น,จำนวน,yes,"
One student has 25 pieces of bread and 10 bananas. However, a monkey stole 10 bananas. How many items are left in total for this student?",25 items,yes
กานต์,"หากมีรูปหกเหลี่ยม มีความยาวด้านแต่ละด้านคือ 8 นิ้ว จงหาเส้นรอบรูปของรูปหกเหลี่ยมนี้
",8*6,48 นิ้ว,48 นิ้ว,เรขาคณิตสองมิติ,yes,"If there is a hexagon with each side measuring 8 inches, find the perimeter of this hexagon.",48 inches,yes
กานต์,"นักเรียนคนหนึ่งต้องการซื้อหนังสือ 2 เล่มราคาเล่มละ 45 บาท และอยากซื้อดินสอ 5 ด้ามราคาด้ามละ 10 บาท นักเรียนคนนี้จะต้องจ่ายเงินทั้งสิ้นเท่าไหร่?
",45*2+5*10,140 บาท,140 บาท,เงินตรา,yes,"
One student wants to buy 2 books, each priced at 45 baht, and also wants to buy 5 pencils, priced at 10 baht each. How much money does the student need to pay in total?",140 baht.,yes
กานต์,"กีฬาบาสเก็ตบอลมีทีมนึงทำแต้มได้ 100 แต้ม โดยเป็นแต้มจากการทำ 2 คะแนนทั้งหมด อยากทราบว่ามีการทำคะแนนได้ทั้งหมดกี่ครั้ง
",100/2,50 ครั้ง,50 ครั้ง,จำนวน,yes,"
In basketball, there is a team that scored 100 points, all from making 2-point baskets. How many times did they score?",50 times,yes
กานต์,"ในหนึ่งวันกฤษวิ่งรอบสนามบาสเก็ตบอลได้ 10 รอบ ถ้ากฤษวิ่งไปแล้ว 10 วัน อยากทราบว่าในวันที่ 5 กฤษวิ่งไปแล้วกี่รอบ
",10*5,50 รอบ,15 รอบ,จำนวน,no,"
On one day, Krit ran 10 laps around the basketball court. If Krit has been running for 10 days, how many laps has he run on the 5th day?",10 laps,no
กานต์,"พีทมีลูกเต๋าที่มี 8 หน้า โดยสามารถ ออกหน้า หนึ่งถึงแปด แต่ละหน้ามีโอกาสออกเท่าๆกัน อยากทราบว่าความน่าจะเป็นที่พีททอยลูกเต๋าได้หน้า 8 เป็นเท่าไร
",1/8,0.125,0.125,ความน่าจะเป็น,yes,"Pete has a dice with 8 faces, ranging from one to eight. Each face has an equal chance of being rolled. What is the probability of Pete rolling an 8?",1/8 or 0.125.,yes
กานต์,"ในการสอบมีนักเรียน 5 คน แต่ละคนทำคะแนนได้ 5,10,15,20,25 ตามลำดับ อยากทราบว่าในการสอบครั้งนี้มีคะแนนเฉลี่ยเป็นเท่าไร
",(5+10+15+20+25)/5,15 คะแนน,15 คะแนน,สถิติ,yes,"In the exam, there are 5 students, and each student scored 5, 10, 15, 20, and 25, respectively.",15,yes
กานต์,"ตอนมื้อเช้า สมกฤษกินข้าวไป 100 บาท กินขนมอีก 100 บาท อยากทราบว่าสมกฤษกินน้ำไปกี่บาท ถ้าสมกฤษจ่ายเงินไปทั้งหมด 300 บาทในมื้อนี้  
",300-(100+100),100 บาท,100 บาท,เงินตรา,yes,"In the morning, Somkrap spent 100 baht on rice and another 100 baht on snacks. If he paid a total of 300 baht for this meal, how much did Somkrap spend on drinking water?",100 baht,yes
กานต์,"นายจิตหลอนซื้อยาแก้ปวด 100 ขวด แต่ละขวดราคา 100 บาท อยากทราบว่านายจิตหลอนต้องจ่ายเงินให้ร้านขายยากี่บาท
",100*100,10000 บาท,10000 บาท,เงินตรา,yes,"Mr. Jitlorn is buying 100 bottles of pain reliever, and the price of each bottle is 100 baht.","10,000 baht",yes
ภัทรธร,"รถจักรยานยนต์ราคามากกว่าเครื่องซักผ้า 25,000  บาท ถ้าเครื่องซักผ้าราคา 16,000 บาท รถจักรยานยนต์ราคาเท่าใด","16,000 + 25,000 ","41,000 บาท","41,000 บาท",เงินตรา,yes,"A motorcycle costs 25,000 Baht more than a washing machine. If the washing machine costs 16,000 Baht, how much does the motorcycle cost?","41,000 baht",yes
ภัทรธร,"บริษัทไปรษณีย์ไทยผลิตแสตมป์ชุดมรดกโลก ซึ่งสแตมป์ 1 ชุดมี 40 ดวง ถ้าจิราพรซื้อสแตมป์ชุดมรดกโลก 1,245 ชุด จิราพรจะมีสแตมป์ทั้งหมดกี่ดวง","1,245 * 45","49,800 ดวง","49,800 ดวง",จำนวน,yes,"Thailand Post Company produces a set of global heritage stamps. In one set, there are 40 stamps. If Jiraporn buys 1,245 sets of global heritage stamps, how many stamps will Jiraporn have in total?","49,800 stamps",yes
ภัทรธร,โจ้รวบรวมเงินจากเพื่อนได้ 992 บาท นำไปซื้อตั๋วรถไฟได้ 16 ใบ ตั๋วราคาใบละกี่บาท,992 / 16,62 บาท,62 บาท,เงินตรา,yes,Joe collected 992 baht from his friends. He used the money to buy 16 train tickets. How much does each train ticket cost?,62 baht,yes
ภัทรธร,"วันนี้เก่งขับมอเตอร์ไซต์รับจ้างมีรายได้ 1,680 บาท ค่าโดยสารเฉลี่ยเที่ยวละ 35 บาท วันนี้เก่งขับมอเตอร์ไซค์รับจ้างกี่เที่ยว","1,680 / 35",48 เที่ยว,48 เที่ยว,เวลา,yes,"Today, Keng, a motorcycle taxi driver, earned 1,680 baht. The average fare per trip is 35 baht. How many trips did Keng make today?",48 trips,yes
ภัทรธร,"ปีที่แล้วมีกบอยู่ในบึง 32,650 ตัว ปีนี้มีกบเพิ่มขึ้นอีก 10,348 ตัว
รวมมีกบทั้งหมดจำนวนกี่ตัว","32,650 + 10,348","42,998 ตัว","43,998 ตัว",การแบ่งของ,no,"Last year, there were 32,650 frogs in the pond. This year, there are 10,348 more frogs. How many frogs are there in total?","43,998 frogs",no
ภัทรธร,"น้ามีเงิน 14,000 บาท ซื้อเครื่องซักผ้าราคา 8,500 บาท นำเงินที่เหลือไปแบ่งให้หลาน 5 คน คนละเท่าๆกัน หลานจะได้เงินคนละกี่บาท","(14,000-8,500) / 5","1,100 บาท","1,100 บาท",เงินตรา,yes,"Aunty has 14,000 baht. She buys a washing machine for 8,500 baht. She then divides the remaining money equally among her 5 grandchildren. How much money will each grandchild receive?"," 1,100 baht",yes
